SHAW	2006-12-28	2013-02-12
SHOS	2012-10-12	2019-10-23
SIAL	2000-01-03	2015-11-18
SIRO	2002-01-22	2016-03-08
SKS	2006-12-28	2013-11-12
SKX	2000-01-03	2025-09-12
SLH	2007-05-10	2016-03-11
SLXP	2000-11-21	2015-04-01
SMAR	2018-04-27	2025-01-22
SNI	2008-06-12	2018-03-16
SNV	2000-01-03	2025-12-31
SOV	2006-12-28	2009-01-29
SPR	2006-11-28	2025-12-05
SPW	2000-01-03	2015-09-25
SRC	2012-09-20	2024-01-22
SRCL	2000-01-03	2024-11-04
STAY	2013-11-13	2021-06-16
STJ	2000-01-03	2017-01-18
STL	2000-01-03	2022-01-31
STOR	2014-11-18	2023-02-03
STR	2017-09-08	2025-08-18
STRZA	2016-01-04	2016-12-16
SUG	2007-09-26	2013-04-03
SVU	2000-01-03	2018-12-14
SWAV	2019-03-07	2024-05-31
SWCH	2017-10-06	2022-12-05
SWI	2016-01-04	2025-04-17
SWY	2000-01-03	2015-02-09
SYNH	2014-11-07	2023-09-28
TAHO	2010-09-23	2019-03-18
TCF	2000-01-03	2021-06-09
TCO	2000-01-04	2020-12-29
TECD	2000-01-03	2020-06-30
TEG	2000-01-03	2015-06-29
TERP	2014-07-18	2020-07-31
TGI	2000-01-03	2025-07-24
TGNA	2000-01-03	2026-03-20
THOR	2000-01-03	2020-01-23
THRX	2021-10-07	2024-02-14
THS	2005-06-28	2026-02-11
TIBX	2000-01-03	2014-12-30
TIE	2006-12-28	2013-01-07
TIF	2000-01-03	2021-01-08
TIN	2017-01-25	2017-02-03
TMUSR	2020-06-24	2020-07-28
TMX	2014-06-26	2022-10-28
TRCO	2013-01-07	2019-09-27
TRH	2006-12-28	2012-03-05
TRW	2004-02-03	2015-05-26
TSP	2021-04-15	2024-02-08
TSRO	2012-06-28	2019-01-18
TSS	2000-01-03	2019-09-17
TWC	2007-03-01	2016-05-26
TWKS	2021-09-15	2024-11-13
TWTR	2013-11-07	2022-10-28
TWX	2000-01-03	2018-06-15
UAG	2008-04-04	2020-12-09
UFS	2001-01-02	2021-11-30
UMPQ	2000-01-03	2023-03-01
UNT	2000-01-03	2020-12-23
UNVR	2015-06-18	2023-07-31
URS	2000-01-03	2014-10-17
UTIW	2016-01-04	2016-02-01
VAR	2000-01-03	2021-04-16
VER	2015-07-31	2021-10-29
VMED	2004-07-19	2013-06-24
VMEO	2021-05-25	2025-11-24
VMW	2007-08-15	2023-11-22
VNTV	2012-03-22	2018-01-12
VR	2007-08-01	2024-02-26
VSM	2016-10-03	2019-10-14
VSTO	2015-02-10	2024-11-27
VVC	2000-01-03	2019-02-26
VWR	2014-10-02	2017-11-21
WBA	2000-01-03	2025-08-28
WBC	2007-08-01	2020-05-28
WBMD	2005-09-29	2017-09-18
WBT	2016-02-18	2022-07-28
WCG	2004-07-01	2020-01-23
WCRX	2006-09-21	2013-10-17
WDR	2000-01-03	2021-04-30
WE	2020-10-21	2024-06-11
WFM	2000-01-03	2017-08-29
WNR	2006-01-19	2017-06-02
WORK	2021-07-22	2021-07-27
WP	2018-01-12	2019-08-05
WPX	2011-12-12	2021-01-14
WRI	2000-01-03	2021-08-03
WWAV	2012-10-26	2017-07-17
WYN	2006-07-19	2018-05-31
X	2000-01-03	2025-06-18
XCO	2006-02-09	2017-12-26
XEC	2002-09-25	2021-10-04
XL	2000-01-03	2018-09-13
XLNX	2000-01-03	2022-02-14
XLRN	2013-09-19	2021-11-22
XLS	2011-10-13	2015-05-29
XOG	2021-01-21	2021-11-24
XTO	2001-01-02	2013-02-07
Y	2000-01-03	2022-10-28
ZAYO	2014-10-17	2020-03-11
ZEN	2014-05-15	2022-11-21
ZNGA	2011-12-16	2022-09-08
ZU	2013-11-15	2015-09-30
