ticker,bucket,observed_delist_date,crsp_code,dlret,reason,exchange,last_trade_close,payout_per_share,stock_ratio,acquirer_price,acquirer_ticker,recovery_ratio,terminal_value,dlret_method,dlret_confidence,payout_source
VMED,liquidation,2013-06-24,400,-0.550000,"Form 25 + Form 15, 8-K without M&A items: liquidation/voluntary dereg",nasdaq,51.000000,,,,,,,shumway_nasdaq,medium,
VMEO,merger,2025-11-24,231,0.000000,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,7.850000,7.850000,,,,,7.850000,cash_only,high,8K_2.01
VMW,merger,2023-11-22,231,0.000140,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,142.480000,142.500000,,,,,142.500000,cash_only,high,8K_2.01
VNTV,exchange_transfer,2018-01-12,304,0.000000,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),nyse,77.600000,,,,,,,exchange_transfer_zero,high,
VR,expiration,2024-02-26,600,,"Non-equity security (asset_type='etf', name='global x metaverse etf')",nyse,25.610000,,,,,,,dropped_expiration,low,
VSM,merger,2019-10-14,231,0.000189,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,52.990000,53.000000,,,,,53.000000,cash_only,high,8K_2.01
VSTO,liquidation,2024-11-27,470,-0.300000,Bankruptcy (8-K item 1.03),nyse,44.630000,,,,,,,shumway_nyse_amex,medium,
VVC,merger,2019-02-26,231,-0.005250,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,72.380000,72.000000,,,,,72.000000,cash_only,high,8K_2.01
VWR,merger,2017-11-21,231,0.000000,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,33.250000,33.250000,,,,,33.250000,cash_only,high,8K_2.01
WBA,merger,2025-08-28,231,-0.044240,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,11.980000,11.450000,,,,,11.450000,cash_only,high,8K_2.01
WBC,merger,2020-05-28,231,0.000293,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,136.460000,136.500000,,,,,136.500000,cash_only,high,8K_2.01
WBMD,merger,2017-09-18,231,0.000301,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,66.480000,66.500000,,,,,66.500000,cash_only,high,8K_2.01
WBT,merger,2022-07-28,231,-0.000416,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,24.010000,24.000000,,,,,24.000000,cash_only,high,8K_2.01
WCG,merger,2020-01-23,231,-0.000035,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,349.920000,120.000000,3.380000,68.020000,CNC,,349.907600,cash_plus_stock,medium,8K_2.01
WCRX,merger,2013-10-17,231,-0.954208,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,22.930000,1.050000,,,,,1.050000,cash_only,medium,DEFM14A
WDR,merger,2021-04-30,231,0.000801,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,24.980000,25.000000,,,,,25.000000,cash_only,high,8K_2.01
WE,compliance_failure,2024-06-11,580,-0.550000,"Compliance failure (3.01 alone, no M&A indicators) + NT 10-K/Q in prior year (delinquent filer 580)",other,0.060000,,,,,,,shumway_nasdaq,medium,
WFM,merger,2017-08-29,231,0.000238,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,41.990000,42.000000,,,,,42.000000,cash_only,high,8K_2.01
WNR,merger,2017-06-02,233,,M&A 2.01+5.01 (subsidiary buyback / parent acquisition),nyse,36.180000,,,,,,,abstain_no_consideration,low,
WORK,merger,2021-07-27,231,0.010761,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,45.200000,26.790000,0.077600,243.510000,CRM,,45.686376,cash_plus_stock,medium,
WP,merger,2019-08-05,231,-0.052076,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,135.000000,11.000000,0.928700,125.950000,FIS,,127.969765,cash_plus_stock,medium,8K_2.01
WPX,merger,2021-01-14,231,0.110776,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,9.430000,,0.516500,20.280000,DVN,,10.474620,stock_only,medium,
WRI,merger,2021-08-03,231,0.000580,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,31.440000,2.200000,1.408000,20.780000,KIM,,31.458240,cash_plus_stock,medium,
WWAV,merger,2017-07-17,231,0.000178,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,56.240000,56.250000,,,,,56.250000,cash_only,high,8K_2.01
WYN,exchange_transfer,2018-05-31,304,0.000000,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),nyse,108.440000,,,,,,,exchange_transfer_zero,high,
X,merger,2025-06-18,231,0.002918,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,54.840000,55.000000,,,,,55.000000,cash_only,high,8K_2.01
XCO,exchange_transfer,2017-12-26,304,0.000000,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),nyse,0.640000,,,,,,,exchange_transfer_zero,high,
XEC,merger,2021-10-04,231,,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,87.200000,,,,,,,abstain_no_consideration,low,
XL,merger,2018-09-13,231,0.000174,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,57.590000,57.600000,,,,,57.600000,cash_only,high,8K_2.01
XLNX,merger,2022-02-14,231,0.010327,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,194.920000,,1.723400,114.270000,AMD,,196.932918,stock_only,medium,
XLRN,merger,2021-11-22,231,0.006993,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,178.750000,180.000000,,,,,180.000000,cash_only,high,8K_2.01
XLS,merger,2015-05-29,231,,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,24.660000,,,,,,,abstain_no_consideration,low,
XOG,merger,2021-11-24,231,-0.062724,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,68.540000,,1.188326,54.060000,CIVI,,64.240886,stock_only,medium,
XTO,compliance_failure,2013-02-07,570,-0.550000,"Compliance failure (3.01 alone, no M&A indicators)",other,41.810000,,,,,,,shumway_nasdaq,medium,
Y,merger,2022-10-28,231,0.000271,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,847.790000,848.020000,,,,,848.020000,cash_only,high,8K_2.01
ZAYO,merger,2020-03-11,231,0.000286,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,34.990000,35.000000,,,,,35.000000,cash_only,high,8K_2.01
ZEN,merger,2022-11-21,231,0.000258,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,77.480000,77.500000,,,,,77.500000,cash_only,high,8K_2.01
ZNGA,merger,2022-09-08,231,0.026351,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,8.180000,3.500000,0.040600,120.580000,TTWO,,8.395548,cash_plus_stock,medium,
ZU,merger,2015-09-30,231,,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,17.400000,,,,,,,abstain_no_consideration,low,
