sec_id,delist_date,ticker,payout_per_share,confidence,source,accession
BBG000BS3FD4,2008-03-27,RESP,66.000000,medium,8K_1.01,0000898822-07-001485
BBG000BSBB99,2009-04-12,ROH,78.000000,medium,DEFM14A,0000950123-08-011519
BBG000BSD7C2,2020-04-13,RTN,,none,none,
BBG000BSGQN5,2015-10-11,RYL,,none,none,
BBG000BSHHP2,2008-10-03,SAF,68.250000,high,8K_2.01,0001193125-08-199147
BBG000BSLLB3,2019-01-12,SCG,,none,none,
BBG000BSY3K9,2015-11-28,SIAL,140.000000,medium,DEFM14A,0001193125-14-392852
BBG000BSZXM0,2010-09-09,SII,,none,none,
BBG000BT4T69,2014-09-07,HSH,63.000000,high,8K_2.01,0001193125-14-332209
BBG000BT9T73,2014-05-16,LSI,11.150000,high,8K_2.01,0001193125-14-185188
BBG000BTCXB5,2017-03-12,EQY,,none,none,
BBG000BTFDR9,2018-02-23,CAA,48.260000,high,8K_2.01,0001193125-18-042625
BBG000BTKGG8,2019-12-19,STI,,none,none,
BBG000BTLMX5,2016-09-29,STR,25.000000,high,8K_2.01,0001193125-16-712322
BBG000BTN971,2012-10-20,SUN,,none,none,
BBG000BTR593,2024-10-11,SWN,,none,none,
BBG000BTZ1M8,2011-11-20,VSEA,63.000000,high,8K_2.01,0001193125-11-315504
BBG000BV1Y93,2016-07-11,TE,27.550000,high,8K_2.01,0001193125-16-639262
BBG000BV2BR2,2020-07-10,TECD,145.000000,high,8K_2.01,0001193125-20-184003
BBG000BV3594,2007-12-06,TEK,38.000000,high,8K_2.01,0001193125-07-254095
BBG000BV3SC0,2015-01-23,ROC,,none,none,
BBG000BV52H0,2007-09-07,KSE,42.000000,medium,DEFM14A,0000950123-06-008830
BBG000BV75B7,2021-01-17,TIF,131.500000,high,8K_2.01,0001193125-21-004213
BBG000BV7LP7,2015-02-09,SWY,34.920000,high,8K_2.01,0001193125-15-027415
BBG000BV7YT5,2012-02-23,TIN,32.000000,high,8K_2.01,0001193125-12-065436
BBG000BV9X97,2013-12-13,TLAB,2.450000,high,llm,0001193125-13-461360
BBG000BVF2M3,2016-04-28,JAH,,none,none,
BBG000BVFFV4,2012-05-27,TNB,72.000000,high,8K_2.01,0000950103-12-002605
BBG000BVPPM1,2018-10-11,ANDV,152.270000,high,8K_2.01,0001193125-18-289750
BBG000BVSX05,2014-12-15,TIBX,24.000000,medium,DEFM14A,0001193125-14-385947
BBG000BVVHH8,2016-03-10,SIRO,,none,none,
BBG000BW5YW1,2019-05-04,USG,43.500000,high,8K_2.01,0000757011-19-000030
BBG000BW73T1,2009-01-19,UST,69.500000,medium,8K_1.01,0001341004-08-002057
BBG000BW9W88,2017-06-11,VAL,113.000000,high,8K_2.01,0001193125-17-191056
BBG000BWBZN1,2021-04-25,VAR,177.500000,medium,DEFM14A,0001193125-20-244789
BBG000BWDFD4,2025-08-17,PARAA,15.000000,high,8K_2.01,0001193125-25-175027
BBG000BWLMJ4,2025-09-07,WBA,11.450000,high,8K_2.01,0001193125-25-190603
BBG000BWMX63,2026-08-30,WBS,,none,none,
BBG000BWPN99,2008-10-11,WEN,,none,none,
BBG000BWQLY4,2023-12-10,PACW,,none,none,
BBG000BWXL85,2019-07-19,RHT,190.000000,high,8K_2.01,0000950142-19-001516
BBG000BWYFX9,2015-07-10,TEG,,none,none,
BBG000BWZBT2,2021-08-14,WRI,,none,none,
BBG000BX0R13,2011-07-07,WSC,,high,llm_election_stock,0001193125-11-173360
BBG000BX3B60,2008-10-17,WWY,80.000000,medium,8K_1.01,0001341004-08-000796
BBG000BX3TD3,2025-06-28,X,55.000000,high,8K_2.01,0001104659-25-060674
BBG000BX67G5,2008-05-24,MLNM,25.000000,medium,8K_1.01,0001047469-08-004416
BBG000BX6BJ3,2022-10-29,Y,848.020000,high,8K_2.01,0001193125-22-265292
BBG000BX8DC4,2025-09-18,FL,24.000000,medium,8K_1.01,0001104659-25-049592
BBG000BXNJ07,2020-04-26,CY,23.850000,high,8K_2.01,0001104659-20-047540
BBG000BXRPH1,2024-05-13,PXD,,none,none,
BBG000BY10C7,2011-10-13,BJ,51.250000,high,8K_2.01,0001193125-11-261433
BBG000BY33P5,2025-07-12,JNPR,40.000000,high,8K_2.01,0001193125-25-154400
BBG000BYD720,2017-06-09,JNS,,none,none,
BBG000BYKSX2,2017-10-13,ALR,51.000000,high,8K_2.01,0001104659-17-060404
BBG000BYWTX7,2021-04-20,MRVL,,none,none,
BBG000BZ2GG4,2016-04-14,CAM,,none,none,
BBG000C01DF9,2008-07-21,NVT,78.000000,high,8K_2.01,0001104659-08-044940
BBG000C0BGS7,2009-10-30,SEPR,,none,none,
BBG000C0F570,2022-02-24,XLNX,,none,none,
BBG000C0MF34,2016-02-11,PCP,235.000000,high,8K_2.01,0000079958-16-000125
BBG000C0NY96,2019-08-11,TCF,,none,none,
BBG000C0PBV9,2009-01-12,NCC,,none,none,
BBG000C0ZW33,2023-03-11,UMPQ,,none,none,
BBG000C101X4,2023-01-01,ABMD,380.000000,high,8K_2.01,0001193125-22-311074
BBG000C11MQ5,2015-06-05,PCYC,,none,none,
BBG000C15T95,2018-12-31,ESRX,,none,none,
BBG000C1J0Q4,2016-03-03,PCL,,none,none,
BBG000C1JTL6,2019-09-28,TSS,,none,none,
BBG000C1R174,2009-11-02,HLTH,,none,none,
BBG000C1SCJ6,2019-05-13,ULTI,331.500000,high,8K_2.01,0000899681-19-000074
BBG000C1XKF6,2026-01-12,PNFP,,none,none,
BBG000C22QV7,2026-04-19,SEE,42.150000,medium,8K_1.01,0001193125-25-283978
BBG000C2H3F0,2021-06-14,CLGX,80.000000,high,8K_2.01,0001193125-21-182272
BBG000C2HB99,2012-04-20,NST,,none,none,
BBG000C2NV89,2008-09-05,EDS,25.000000,medium,8K_1.01,0001179706-08-000095
BBG000C2PW58,2024-10-12,BLK,,none,none,
BBG000C31LY4,2016-04-14,ATML,7.000000,high,8K_2.01,0001571049-16-013629
BBG000C3GN47,2026-05-17,CTRA,,none,none,
BBG000C3HNW5,2014-10-30,URS,,none,none,
BBG000C3NTN5,2026-04-17,HOLX,76.000000,high,8K_2.01,0001193125-26-144632
BBG000C3QN19,2010-11-28,PTV,33.250000,high,8K_2.01,0000950123-10-106982
BBG000C3W281,2026-06-20,MASI,180.000000,high,8K_2.01,0001104659-26-072151
